Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HSOT,ASOT,Matchweek,FTR - team,Season,Season_start_year,AvgHGoals,AvgAGoals,AvgHS,AvgAS,AvgHST,AvgAST,AvgHGConceded,AvgAGConceded,AvgHF,AvgAF,AvgHC,AvgAC,AvgHY,AvgAY,AvgHR,AvgAR,HomeElo,AwayElo,HomePosition,AwayPosition
2013-08-17,Arsenal,Aston Villa,1,3,A,1,1,D,16,9,4,4,15,18,4,3,4,5,1,0,12,5,1,Aston Villa,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-17,Liverpool,Stoke,1,0,H,1,0,H,26,10,11,4,11,11,12,6,1,1,0,0,15,6,1,Liverpool,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-17,Norwich,Everton,2,2,D,0,0,D,8,19,2,6,13,10,6,8,2,0,0,0,6,13,1,Draw,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-17,Sunderland,Fulham,0,1,A,0,0,D,20,5,3,1,14,14,6,1,0,3,0,0,17,4,1,Fulham,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-17,Swansea,Man United,1,4,A,0,2,A,17,15,6,7,13,10,7,4,1,3,0,0,11,8,1,Man United,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-17,West Brom,Southampton,0,1,A,0,0,D,11,7,1,2,14,24,4,8,4,0,0,0,10,5,1,Southampton,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-17,West Ham,Cardiff,2,0,H,1,0,H,18,12,4,1,10,7,4,3,0,1,0,0,14,11,1,West Ham,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-18,Chelsea,Hull,2,0,H,2,0,H,22,7,5,2,7,16,5,1,0,1,0,0,17,5,1,Chelsea,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-18,Crystal Palace,Tottenham,0,1,A,0,0,D,5,17,3,2,6,9,3,7,1,0,0,0,2,15,1,Tottenham,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
2013-08-19,Man City,Newcastle,4,0,H,2,0,H,20,5,11,1,9,7,8,1,2,3,0,1,9,4,1,Man City,2013 - 2014,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1,1
